,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Palacio,40.41542813957815,-3.713981305934884,Santa Iglesia Catedral de Santa María la Real de la Almudena (Catedral de la Almudena),40.41576693264202,-3.7145161628723145,Church
1,Palacio,40.41542813957815,-3.713981305934884,Cervecería La Mayor,40.41521786102789,-3.7121938520878386,Beer Bar
2,Palacio,40.41542813957815,-3.713981305934884,Mercado Jamón Iberico,40.41544225,-3.71164314,Market
3,Palacio,40.41542813957815,-3.713981305934884,Plaza de La Almudena,40.41631960737639,-3.713776929870609,Plaza
4,Palacio,40.41542813957815,-3.713981305934884,Palacio Real de Madrid,40.41793972010854,-3.714258670806885,Palace
5,Palacio,40.41542813957815,-3.713981305934884,Charlie Champagne,40.41393640099747,-3.712647348286377,Restaurant
6,Palacio,40.41542813957815,-3.713981305934884,Plaza de Ramales,40.41703689886453,-3.711625909170824,Plaza
7,Palacio,40.41542813957815,-3.713981305934884,Taberna Rayuela,40.41317891156541,-3.7134962971934686,Tapas Restaurant
8,Palacio,40.41542813957815,-3.713981305934884,Plaza de la Villa,40.415408601788656,-3.710390924213192,Historic Site
9,Palacio,40.41542813957815,-3.713981305934884,Zuccaru,40.417179,-3.711674,Ice Cream Shop
10,Palacio,40.41542813957815,-3.713981305934884,La Tapería Mayor,40.41543798099699,-3.711252549354675,Paella Restaurant
11,Palacio,40.41542813957815,-3.713981305934884,Corral de la Morería,40.412619019854375,-3.7142493289306913,Performing Arts Venue
12,Palacio,40.41542813957815,-3.713981305934884,la gastroteca de santiago,40.4166394850381,-3.710943995357369,Restaurant
13,Palacio,40.41542813957815,-3.713981305934884,Plaza de Oriente,40.418325668437966,-3.712196052074432,Plaza
14,Palacio,40.41542813957815,-3.713981305934884,Restaurante Taberneros,40.416457775789596,-3.7103856206505745,Spanish Restaurant
15,Palacio,40.41542813957815,-3.713981305934884,Plaza de la Paja,40.41290469221371,-3.711675718271377,Plaza
16,Palacio,40.41542813957815,-3.713981305934884,Jardín del Príncipe de Anglona,40.41359508044958,-3.7114285283775614,Garden
17,Palacio,40.41542813957815,-3.713981305934884,Café de Oriente,40.41808083605312,-3.7118667284955524,Spanish Restaurant
18,Palacio,40.41542813957815,-3.713981305934884,Teatro Real de Madrid,40.41822583203057,-3.7110644324883078,Opera House
19,Palacio,40.41542813957815,-3.713981305934884,El Landó,40.411899822,-3.71507637,Spanish Restaurant
20,Palacio,40.41542813957815,-3.713981305934884,La Esquina del Real,40.41735567714916,-3.710364295560296,French Restaurant
21,Palacio,40.41542813957815,-3.713981305934884,Jardines de las Vistillas,40.4123433475275,-3.714763272346025,Park
22,Palacio,40.41542813957815,-3.713981305934884,Basílica de San Miguel,40.41413836034796,-3.709684508176225,Church
23,Palacio,40.41542813957815,-3.713981305934884,Mercado de San Miguel,40.41544294871344,-3.708943462311585,Market
24,Palacio,40.41542813957815,-3.713981305934884,Muralla musulmana de Madrid,40.414880609756715,-3.7149895156627006,Historic Site
25,Palacio,40.41542813957815,-3.713981305934884,Tienda La Rebelión de los Mandiles,40.41513265500589,-3.7133581694444984,Wine Shop
26,Palacio,40.41542813957815,-3.713981305934884,Pinkleton & Wine,40.41538988001937,-3.7090504621760862,Wine Bar
27,Palacio,40.41542813957815,-3.713981305934884,Santa Eulalia Boulangerie Pâtisserie ,40.41715285298552,-3.709777555340336,Pie Shop
28,Palacio,40.41542813957815,-3.713981305934884,Café Bar Delic,40.41273870787581,-3.711678450125613,Café
29,Palacio,40.41542813957815,-3.713981305934884,La Musa Latina,40.41283455101768,-3.7117671604527014,Tapas Restaurant
30,Palacio,40.41542813957815,-3.713981305934884,Viva Burger,40.41263019326825,-3.7116827479753303,Vegetarian / Vegan Restaurant
31,Palacio,40.41542813957815,-3.713981305934884,Gauranga Trascendental Food,40.412891557155,-3.7134861946105957,Vegetarian / Vegan Restaurant
32,Palacio,40.41542813957815,-3.713981305934884,El Pimiento Verde,40.415176880064905,-3.7092593345130243,Spanish Restaurant
33,Palacio,40.41542813957815,-3.713981305934884,Lhardy,40.41543499531071,-3.708833665033407,Tapas Restaurant
34,Palacio,40.41542813957815,-3.713981305934884,Zoco Comidero Bar,40.41328907548855,-3.7134631663750186,Gastropub
35,Palacio,40.41542813957815,-3.713981305934884,El Estudio de los Arquitectos,40.41252736670137,-3.710673020549052,Cocktail Bar
36,Palacio,40.41542813957815,-3.713981305934884,Metropolis Center,40.416830017639526,-3.7097529827219335,Hobby Shop
37,Palacio,40.41542813957815,-3.713981305934884,Plaza de San Miguel,40.41544339138004,-3.7089967652197884,Plaza
38,Palacio,40.41542813957815,-3.713981305934884,Federal Café 2,40.41445972417601,-3.7087736699569414,Café
39,Palacio,40.41542813957815,-3.713981305934884,Amorino,40.41606544853993,-3.7083827962064877,Ice Cream Shop
40,Palacio,40.41542813957815,-3.713981305934884,Gayane's Madrid,40.41696769228408,-3.7096318602561946,Caucasian Restaurant
41,Palacio,40.41542813957815,-3.713981305934884,Astór Gastrobar,40.41273,-3.709617,Spanish Restaurant
